,english,hebrew
2230,resist,לְהִתְנַגֵד
2231,resistance,הִתנַגְדוּת
2232,resolution,פתרון הבעיה
2233,resolve,לִפְתוֹר
2234,resort,אתר נופש
2235,resource,מַשׁאָב
2236,respect,הערכה
2237,respond,לְהָגִיב
2238,respondent,משיב
2239,response,תְגוּבָה
2240,responsibility,אַחֲרָיוּת
2241,responsible,אחראי
2242,rest,מנוחה
2243,restaurant,מִסעָדָה
2244,restore,לשחזר
2245,restriction,הַגבָּלָה
2246,result,תוֹצָאָה
2247,retain,לִשְׁמוֹר
2248,retire,לִפְרוֹשׁ
2249,retirement,פרישה לגמלאות
2250,return,לַחֲזוֹר
2251,reveal,לְגַלוֹת
2252,revenue,הַכנָסָה
2253,review,סקירה
2254,revolution,מַהְפֵּכָה
2255,rhythm,קֶצֶב
2256,rice,אורז
2257,rich,עָשִׁיר
2258,rid,לְשַׁחְרֵר
2259,ride,נסיעה
2260,rifle,רובה
2261,right,ימין
2262,ring,טַבַּעַת
2263,rise,לעלות
2264,risk,לְהִסְתָכֵּן
2265,river,נהר
2266,road,כְּבִישׁ
2267,rock,סלע
2268,role,תַפְקִיד
2269,roll,גָלִיל
2270,romantic,רוֹמַנטִי
2271,roof,גג
2272,room,חֶדֶר
2273,root,שורש
2274,rope,חֶבֶל
2275,rose,ורד
2276,rough,מְחוּספָּס
2277,roughly,בְּעֵרֶך
2278,round,עָגוֹל
2279,route,מַסלוּל
2280,routine,שגרה
2281,row,שׁוּרָה
2282,rub,לשפשף
2283,rule,כְּלָל
2284,run,לָרוּץ
2285,running,רץ
2286,rural,כַּפרִי
2287,rush,לְמַהֵר
2288,Russian,רוּסִי
2289,sacred,קָדוֹשׁ
2290,sad,עָצוּב
2291,safe,בטוח
2292,safety,בְּטִיחוּת
2293,sake,סאקה
2294,salad,סלט
2295,salary,שכר
2296,sale,מְכִירָה
2297,sales,מכירות
2298,salt,מלח
2299,same,אותו
2300,sample,לִטעוֹם
2301,sanction,סַנקצִיָה
2302,sand,חוֹל
2303,satellite,לוויין
2304,satisfaction,שביעות רצון
2305,satisfy,לְסַפֵּק
2306,sauce,רוטב
2307,save,לשמור
2308,saving,חִסָכוֹן
2309,say,אמר
2310,scale,סוּלָם
2311,scandal,סקנדל
2312,scared,מפוחד
2313,scenario,תַרחִישׁ
2314,scene,סְצֵינָה
2315,schedule,לוח זמנים
2316,scheme,תָכְנִית
2317,scholar,מְלוּמָד
2318,scholarship,מילגה
2319,school,בית ספר
2320,science,מַדָע
2321,scientific,מַדָעִי
2322,scientist,מַדְעָן
2323,scope,תְחוּם
2324,score,ציון
2325,scream,לִצְרוֹחַ
2326,screen,מָסָך
2327,script,תַסרִיט
2328,sea,יָם
2329,search,לחפש
2330,season,עונה
2331,seat,מושב
2332,second,שְׁנִיָה
2333,secret,סוֹד
2334,secretary,מזכיר
2335,section,סָעִיף
2336,sector,מִגזָר
2337,secure,לבטח
2338,security,בִּטָחוֹן
2339,see,לִרְאוֹת
2340,seed,זֶרַע
2341,seek,לְחַפֵּשׂ
2342,seem,נראה
2343,segment,מִגזָר
2344,seize,לִתְפּוֹס
2345,select,בחר
2346,selection,בְּחִירָה
2347,self,עצמי
2348,sell,מכירה
2349,Senate,סֵנָט
2350,senator,סֵנָטוֹר
2351,send,לִשְׁלוֹחַ
2352,senior,בָּכִיר
2353,sense,לָחוּשׁ
2354,sensitive,רָגִישׁ
2355,sentence,משפט
2356,separate,נפרד
2357,sequence,סדר פעולות
2358,series,סִדרָה
2359,serious,רְצִינִי
2360,seriously,ברצינות
2361,serve,לְשָׁרֵת
2362,service,שֵׁרוּת
2363,session,מוֹשָׁב
2364,set,מַעֲרֶכֶת
2365,setting,הגדרה
2366,settle,לִשְׁקוֹעַ
2367,settlement,הֶסדֵר
2368,seven,שבע
2369,several,כַּמָה
2370,severe,חָמוּר
2371,sex,מִין
2372,sexual,מִינִי
2373,shade,צֵל
2374,shadow,צֵל
2375,shake,לְנַעֵר
2376,shall,יהיה
2377,shape,צוּרָה
2378,share,לַחֲלוֹק
2379,sharp,חַד
2380,she,היא
2381,sheet,דַף
2382,shelf,מַדָף
2383,shell,צדף
2384,shelter,מקלט
2385,shift,מִשׁמֶרֶת
2386,shine,זוהר
2387,ship,ספינה
2388,shirt,חוּלצָה
2389,shit,לְחַרְבֵּן
2390,shock,הֶלֶם
2391,shoe,נַעַל
2392,shoot,לירות
2393,shooting,צילומים
2394,shop,לִקְנוֹת
2395,shopping,קניות
2396,shore,חוף
2397,short,קצר
2398,shortly,בְּקָרוּב
2399,shot,בְּעִיטָה
2400,should,צריך
2401,shoulder,כָּתֵף
2402,shout,צעקה
2403,show,הופעה
2404,shower,מִקלַחַת
2405,shrug,למשוך בכתף
2406,shut,לִסְגוֹר
2407,sick,חוֹלֶה
2408,side,צַד
2409,sigh,אֲנָחָה
2410,sight,מראה
2411,sign,סִימָן
2412,signal,אוֹת
2413,significance,מַשְׁמָעוּת
2414,significant,משמעותי
2415,significantly,באופן ניכר
2416,silence,שתיקה
2417,silent,שקט
2418,silver,כסף
2419,similar,דוֹמֶה
2420,similarly,בדומה לכך
2421,simple,פָּשׁוּט
2422,simply,בפשטות
2423,sin,חטא
2424,since,מאז
2425,sing,לָשִׁיר
2426,singer,זמר
2427,single,יחיד
2428,sink,כִּיוֹר
2429,sir,אֲדוֹנִי
2430,sister,אָחוֹת
2431,sit,לָשֶׁבֶת
2432,site,אֲתַר
2433,situation,מַצָב
2434,six,שֵׁשׁ
2435,size,גודל
2436,ski,סקִי
2437,skill,מְיוּמָנוּת
2438,skin,עור
2439,sky,שָׁמַיִם
2440,slave,עֶבֶד
2441,sleep,לִישׁוֹן
2442,slice,פרוסה
2443,slide,שקופית
2444,slight,קָלוּשׁ
2445,slightly,מְעַט
2446,slip,פליטת פה
2447,slow,לְהַאֵט
2448,slowly,לאט
2449,small,קָטָן
2450,smart,לִכאוֹב
2451,smell,רֵיחַ
2452,smile,חיוך
2453,smoke,עָשָׁן
2454,smooth,חלק
2455,snap,לְצַלֵם
2456,snow,שֶׁלֶג
2457,so,כך
2458,so-called,מה שנקרא
2459,soccer,כדורגל
2460,social,חֶברָתִי
2461,society,חֶברָה
2462,soft,רַך
2463,software,תוֹכנָה
2464,soil,קרקע
2465,solar,סוֹלָרִי
2466,soldier,לוֹחֶם
2467,solid,מוצק
2468,solution,פִּתָרוֹן
2469,solve,לִפְתוֹר
2470,some,כמה
2471,somebody,מִישֶׁהוּ
2472,somehow,איכשהו
2473,someone,מִישֶׁהוּ
2474,something,משהו
2475,sometimes,לִפְעָמִים
2476,somewhat,במידה מסוימת
2477,somewhere,אי שם
2478,son,בֵּן
2479,song,שִׁיר
2480,soon,בקרוב
2481,sophisticated,מתוחכם
2482,sorry,מצטער
2483,sort,סוג
2484,soul,נֶפֶשׁ
2485,sound,נשמע
2486,soup,מרק
2487,source,מָקוֹר
2488,south,דָרוֹם
2489,southern,דְרוֹמִי
2490,Soviet,סובייטי
2491,space,מֶרחָב
2492,Spanish,ספרדית
2493,speak,לְדַבֵּר
2494,speaker,רַמקוֹל
2495,special,מיוחד
2496,specialist,מוּמחֶה
2497,species,מִין
2498,specific,ספֵּצִיפִי
2499,specifically,באופן ספציפי
2500,speech,נְאוּם
2501,speed,מְהִירוּת
2502,spend,לְבַלוֹת
2503,spending,הוצאות
2504,spin,סיבוב
2505,spirit,רוּחַ
2506,spiritual,רוחני
2507,split,לְפַצֵל
2508,spokesman,דוֹבֵר
2509,sport,ספּוֹרט
2510,spot,לְזַהוֹת
2511,spread,התפשטות
2512,spring,אביב
2513,square,כיכר
2514,squeeze,למחוץ
2515,stability,יַצִיבוּת
2516,stable,יַצִיב
2517,staff,צוות
2518,stage,שלב
2519,stair,מדרגה
2520,stake,לְהַמֵר
2521,stand,לַעֲמוֹד
2522,standard,תֶקֶן
2523,standing,עוֹמֵד
2524,star,כוכב
2525,stare,לבהות
2526,start,הַתחָלָה
2527,state,מדינה
2528,statement,הַצהָרָה
2529,station,תַחֲנָה
2530,statistics,סטָטִיסטִיקָה
2531,status,סטָטוּס
2532,stay,שָׁהוּת
2533,steady,יַצִיב
2534,steal,לִגנוֹב
2535,steel,פְּלָדָה
2536,step,שלב
2537,stick,מקל
2538,still,עוֹד
2539,stir,לְרַגֵשׁ
2540,stock,המניה
2541,stomach,בֶּטֶן
2542,stone,אֶבֶן
2543,stop,תפסיק
2544,storage,אִחסוּן
2545,store,חנות
2546,storm,סערה
2547,story,כַּתָבָה
2548,straight,יָשָׁר
2549,strange,מוּזָר
2550,stranger,זָר
2551,strategic,אסטרטגי
2552,strategy,אִסטרָטֶגִיָה
2553,stream,זרם
2554,street,רְחוֹב
2555,strength,כוח
2556,strengthen,לְחַזֵק
2557,stress,לחץ
2558,stretch,לִמְתוֹחַ
2559,strike,לְהַכּוֹת
2560,string,חוּט
2561,strip,לְהִתְפַּשֵׁט
2562,stroke,שבץ
2563,strong,חָזָק
2564,strongly,בְּתוֹקֶף
2565,structure,מִבְנֶה
2566,struggle,מַאֲבָק
2567,student,סטוּדֶנט
2568,studio,סטוּדִיוֹ
2569,study,לימוד
2570,stuff,דברים
2571,stupid,מְטוּפָּשׁ
2572,style,סִגְנוֹן
2573,subject,נושא
2574,submit,שלח
2575,subsequent,לאחר מכן
2576,substance,חומר
2577,substantial,מַמָשִׁי
2578,succeed,מצליח
2579,success,הַצלָחָה
2580,successful,מוּצלָח
2581,successfully,בְּהַצלָחָה
2582,such,כגון
2583,sudden,פִּתְאוֹמִי
2584,suddenly,פִּתְאוֹם
2585,sue,לתבוע
2586,suffer,סובל
2587,sufficient,מַסְפִּיק
2588,sugar,סוכר
2589,suggest,לְהַצִיעַ
2590,suggestion,הַצָעָה
2591,suicide,הִתאַבְּדוּת
2592,suit,חליפה
2593,summer,קַיִץ
2594,summit,פִּסגָה
2595,sun,שמש
2596,super,סוּפֶּר
2597,supply,לְסַפֵּק
2598,support,תמיכה
2599,supporter,תוֹמֵך
2600,suppose,לְהַנִיחַ
2601,supposed,אמור
2602,Supreme,עֶלִיוֹן
2603,sure,בטוח
2604,surely,בוודאות
2605,surface,משטח
2606,surgery,כִּירוּרגִיָה
2607,surprise,הַפתָעָה
2608,surprised,מוּפתָע
2609,surprising,מַפתִיעַ
2610,surprisingly,למרבה ההפתעה
2611,surround,לְהַקִיף
2612,survey,סֶקֶר
2613,survival,הישרדות
2614,survive,לִשְׂרוֹד
2615,survivor,ניצול
2616,suspect,חָשׁוּד
2617,sustain,לִתְמוֹך
2618,swear,לְקַלֵל
2619,sweep,לְטַאטֵא
2620,sweet,מתוק
2621,swim,לשחות
2622,swing,נַדְנֵדָה
2623,switch,החלף
2624,symbol,סֵמֶל
2625,symptom,סימפטום
2626,system,מערכת
2627,table,שולחן
2628,tablespoon,כַּף
2629,tactic,טקטיקה
2630,tail,זָנָב
2631,take,לקחת
2632,tale,מַעֲשִׂיָה
2633,talent,כִּשָׁרוֹן
2634,talk,דבר
2635,tall,גובה
2636,tank,טַנק
2637,tap,בֶּרֶז
2638,tape,סרט הדבקה
2639,target,יַעַד
2640,task,מְשִׁימָה
2641,taste,טַעַם
2642,tax,מַס
2643,taxpayer,נישום
2644,tea,תה
2645,teach,לְלַמֵד
2646,teacher,מוֹרֶה
2647,teaching,הוֹרָאָה
2648,team,קְבוּצָה
2649,tear,דמעה
2650,teaspoon,כַּפִּית
2651,technical,טֶכנִי
2652,technique,טֶכנִיקָה
2653,technology,טֶכנוֹלוֹגִיָה
2654,teen,נער
2655,teenager,מִתבַּגֵר
2656,telephone,טֵלֵפוֹן
2657,telescope,טֵלֶסקוֹפּ
2658,television,טֵלֶוִיזִיָה
2659,tell,לאמר
2660,temperature,טֶמפֶּרָטוּרָה
2661,temporary,זמני
2662,ten,עשר
2663,tend,נוטה
2664,tendency,מְגַמָה
2665,tennis,טֶנִיס
2666,tension,מתח
2667,tent,אוֹהֶל
2668,term,טווח
2669,terms,תנאים
2670,terrible,נורא
2671,territory,שֶׁטַח
2672,terror,טֵרוֹר
2673,terrorism,טֵרוֹר
2674,terrorist,מְחַבֵּל
2675,test,מִבְחָן
2676,testify,לְהַעִיד
2677,testimony,עֵד
2678,testing,בדיקה
2679,text,טֶקסט
2680,than,מאשר
2681,thank,להודות
2682,thanks,תודה
2683,that,זֶה
2684,the,ה
2685,theater,תיאטרון
2686,their,שֶׁלָהֶם
2687,them,אוֹתָם
2688,theme,נושא
2689,themselves,עצמם
2690,then,לאחר מכן
2691,theory,תֵאוֹרִיָה
2692,therapy,תֶרַפּיָה
2693,there,שם
2694,therefore,לָכֵן
2695,these,אלה
2696,they,הֵם
2697,thick,עבה
2698,thin,רזה
2699,thing,דָבָר
2700,think,לַחשׁוֹב
2701,thinking,חושב
2702,third,שְׁלִישִׁי
2703,thirty,שְׁלוֹשִׁים
2704,this,זֶה
2705,those,הָהֵן
2706,though,עם זאת
2707,thought,מַחֲשָׁבָה
2708,thousand,אלף
2709,threat,אִיוּם
2710,threaten,מאיים
2711,three,שְׁלוֹשָׁה
2712,throat,גרון
2713,through,דרך
2714,throughout,בְּמֶשֶך
2715,throw,לזרוק
2716,thus,לכן
2717,ticket,כַּרְטִיס
2718,tie,עניבה
2719,tight,הדוק
2720,time,זְמַן
2721,tiny,זָעִיר
2722,tip,עֵצָה
2723,tire,צמיג
2724,tired,עייף
2725,tissue,רִקמָה
2726,title,כותרת
2727,to,ל
2728,tobacco,טַבָּק
2729,today,היום
2730,toe,אֶצבַּע
2731,together,יַחַד
2732,tomato,עגבנייה
2733,tomorrow,מָחָר
2734,tone,טוֹן
2735,tongue,לָשׁוֹן
2736,tonight,היום בלילה
2737,too,גַם
2738,tool,כְּלִי
2739,tooth,שן
2740,top,חלק עליון
2741,topic,נוֹשֵׂא
2742,toss,לִזרוֹק
2743,total,סך הכל
2744,totally,לְגַמרֵי
2745,touch,לגעת
2746,tough,קָשֶׁה
2747,tour,סיור
2748,tourist,תייר
2749,tournament,טורניר
2750,toward,לקראת
2751,towards,לִקרַאת
2752,tower,מִגדָל
2753,town,העיר
2754,toy,צַעֲצוּעַ
2755,trace,זֵכֶר
2756,track,מַסלוּל
2757,trade,סַחַר
2758,tradition,מָסוֹרֶת
2759,traditional,מָסוֹרתִי
2760,traffic,תְנוּעָה
2761,tragedy,טרגדיה
2762,trail,שביל
2763,train,רכבת
2764,training,הַדְרָכָה
2765,transfer,לְהַעֲבִיר
2766,transform,שינוי צורה
2767,transformation,טרנספורמציה
2768,transition,מַעֲבָר
2769,translate,לתרגם
2770,transportation,הוֹבָלָה
2771,travel,לִנְסוֹעַ
2772,treat,טיפול
2773,treatment,יַחַס
2774,treaty,אֲמָנָה
2775,tree,עֵץ
2776,tremendous,עָצוּם
2777,trend,מְגַמָה
2778,trial,ניסוי
2779,tribe,שֶׁבֶט
2780,trick,טריק
2781,trip,טיול
2782,troop,גְדוּד
2783,trouble,צרה
2784,truck,מַשָׂאִית
2785,TRUE,נָכוֹן
2786,truly,בֶּאֱמֶת
2787,trust,אמון
2788,truth,אֶמֶת
2789,try,לְנַסוֹת
2790,tube,צינור
2791,tunnel,מִנהָרָה
2792,turn,תור
2793,TV,טֵלֶוִיזִיָה
2794,twelve,שתיים עשרה
2795,twenty,עשרים
2796,twice,פעמיים
2797,twin,תְאוֹם
2798,two,שתיים
2799,type,סוּג
2800,typical,טיפוסי
2801,typically,בדרך כלל
2802,ugly,מְכוֹעָר
2803,ultimate,סופי
2804,ultimately,בסופו של דבר
2805,unable,לא מסוגל
2806,uncle,דוֹד
2807,under,תַחַת
2808,undergo,לַעֲבוֹר
2809,understand,מבין
2810,understanding,הֲבָנָה
2811,unfortunately,לצערי
2812,uniform,מדים
2813,union,הִתאַחֲדוּת
2814,unique,ייחודי
2815,unit,יחידה
2816,United,מאוחד
2817,universal,אוניברסלי
2818,universe,עוֹלָם
2819,university,אוּנִיבֶרְסִיטָה
2820,unknown,לא ידוע
2821,unless,אֶלָא אִם
2822,unlike,בניגוד
2823,unlikely,לא סביר
2824,until,עד
2825,unusual,בלתי שגרתי
2826,up,לְמַעלָה
2827,upon,עַל
2828,upper,עֶלִיוֹן
2829,urban,עִירוֹנִי
2830,urge,דַחַף
2831,us,לָנוּ
2832,use,להשתמש
2833,used,בשימוש
2834,useful,מוֹעִיל
2835,user,מִשׁתַמֵשׁ
2836,usual,רָגִיל
2837,usually,בְּדֶרֶך כְּלַל
2838,utility,תוֹעֶלֶת
2839,vacation,חוּפשָׁה
2840,valley,עֶמֶק
2841,valuable,בעל ערך
2842,value,ערך
2843,variable,מִשְׁתַנֶה
2844,variation,וָרִיאַצִיָה
2845,variety,מגוון
2846,various,שׁוֹנִים
2847,vary,לְהִשְׁתַנוֹת
2848,vast,עָצוּם
2849,vegetable,ירקות
2850,vehicle,רכב
2851,venture,מיזם
2852,version,גִרְסָה
2853,versus,נגד
2854,very,מאוד
2855,vessel,כְּלִי שַׁיִט
2856,veteran,ותיק
2857,via,באמצעות
2858,victim,קורבן
2859,victory,ניצחון
2860,video,וִידֵאוֹ
2861,view,נוף
2862,viewer,צוֹפֶה
2863,village,כְּפָר
2864,violate,לְהָפֵר
2865,violation,הֲפָרָה
2866,violence,אַלִימוּת
2867,violent,אַלִים
2868,virtually,כִּמעַט
2869,virtue,מַעֲלָה
2870,virus,נגיף
2871,visible,גלוי
2872,vision,חָזוֹן
2873,visit,לְבַקֵר
2874,visitor,אורח
2875,visual,חָזוּתִי
2876,vital,חִיוּנִי
2877,voice,קוֹל
2878,volume,כרך
2879,volunteer,לְהִתְנַדֵב
2880,vote,הַצבָּעָה
2881,voter,בּוֹחֵר
2882,vs,לעומת
2883,vulnerable,פָּגִיעַ
2884,wage,שָׂכָר
2885,wait,לַחֲכוֹת
2886,wake,לְהִתְעוֹרֵר
2887,walk,לָלֶכֶת
2888,wall,קִיר
2889,wander,לשוטט
2890,want,רוצה
2891,war,מִלחָמָה
2892,warm,נעים
2893,warn,לְהַזהִיר
2894,warning,אַזהָרָה
2895,wash,לִשְׁטוֹף
2896,waste,בזבוז
2897,watch,שעון
2898,water,מים
2899,wave,גַל
2900,way,דֶרֶך
2901,we,אָנוּ
2902,weak,חלש
2903,wealth,עוֹשֶׁר
2904,wealthy,עָשִׁיר
2905,weapon,נֶשֶׁק
2906,wear,לִלבּוֹשׁ
2907,weather,מזג אוויר
2908,wedding,חֲתוּנָה
2909,week,שָׁבוּעַ
2910,weekend,סוף שבוע
2911,weekly,שְׁבוּעִי
2912,weigh,לשקול
2913,weight,מִשׁקָל
2914,welcome,ברוך הבא
2915,welfare,סעד
2916,well,נו
2917,west,מַעֲרָב
2918,western,מערבי
2919,wet,רָטוֹב
2920,what,מה
2921,whatever,מה שתגיד
2922,wheel,גַלגַל
2923,when,מתי
2924,whenever,בְּכָל פַּעַם
2925,where,איפה
2926,whereas,ואילו
2927,whether,האם
2928,which,איזה
2929,while,בזמן
2930,whisper,לַחַשׁ
2931,white,לבן
2932,who,WHO
2933,whole,כֹּל
2934,whom,מִי
2935,whose,של מי
2936,why,למה
2937,wide,רָחָב
2938,widely,במידה רבה
2939,widespread,נָפוֹץ
2940,wife,אשה
2941,wild,פְּרָאִי
2942,will,רָצוֹן
2943,willing,מוּכָן
2944,win,לנצח
2945,wind,רוּחַ
2946,window,חַלוֹן
2947,wine,יַיִן
2948,wing,אֲגַף
2949,winner,זוֹכֵה
2950,winter,חוֹרֶף
2951,wipe,לנגב
2952,wire,חוּט
2953,wisdom,חוכמה
2954,wise,חכם
2955,wish,בַּקָשָׁה
2956,with,עם
2957,withdraw,לָסֶגֶת
2958,within,בְּתוֹך
2959,without,לְלֹא
2960,witness,עֵד
2961,woman,אִשָׁה
2962,wonder,פֶּלֶא
2963,wonderful,נִפלָא
2964,wood,עץ
2965,wooden,מעץ
2966,word,מִלָה
2967,work,עֲבוֹדָה
2968,worker,עוֹבֵד
2969,working,עובד
2970,works,עובד
2971,workshop,סדנה
2972,world,עוֹלָם
2973,worried,מוּדְאָג
2974,worry,דאגה
2975,worth,שִׁוּוּי
2976,would,היה
2977,wound,פֶּצַע
2978,wrap,לַעֲטוֹף
2979,write,לִכתוֹב
2980,writer,סוֹפֵר
2981,writing,כְּתִיבָה
2982,wrong,לא בסדר
2983,yard,חָצֵר
2984,yeah,כֵּן
2985,year,שָׁנָה
2986,yell,לִצְעוֹק
2987,yellow,צהוב
2988,yes,כן
2989,yesterday,אתמול
2990,yet,עדיין
2991,yield,תְשׁוּאָה
2992,you,אתה
2993,young,צָעִיר
2994,your,שֶׁלְךָ
2995,yours,שלך
2996,yourself,עַצמְךָ
2997,youth,נוֹעַר
2998,zone,אֵזוֹר
